Category,Subcategory,Name,Date/Time/Schedule,Time/Hours,Location,Frequency/Service Type,Cost/Price,Description/Notes,Source URL
Event,Library,YA Comics Club,2026-03-12,6:00 PM,"Fall River Public Library, 104 North Main St",Monthly (2nd Thursday),Free,"Comics, manga, graphic novels for teens 13-18",https://fallriverlibrary.org/events
Event,Library,Phelan Monsters Puppet Show,2026-03-14,11:00 AM,"Fall River Public Library, 104 North Main St",One-time,Free,Children's puppet show,https://fallriverlibrary.org/events
Event,Library,Open Draw for Teens,2026-03-14,2:00 PM,"Fall River Public Library, 104 North Main St",Monthly,Free,Open drawing session for teens,https://fallriverlibrary.org/events
Event,Library,The Great Leprechaun Hunt!,2026-03-17,4:00 PM,"Fall River Public Library, 104 North Main St",One-time (St. Patrick's Day),Free,St. Patrick's Day leprechaun hunt for kids,https://fallriverlibrary.org/events
Event,Library,Middle Grade Book Club,2026-03-17,5:00 PM,"Fall River Public Library, 104 North Main St",Monthly,Free,Book club for middle grade readers,https://fallriverlibrary.org/events
Event,Library,Books & Tea Club,2026-03-18,2:00 PM,"Fall River Public Library, 104 North Main St",Monthly,Free,Adult book club with tea,https://fallriverlibrary.org/events
Event,Library,Watercolor Workshop,2026-03-18,6:00 PM,"Fall River Public Library, 104 North Main St",Monthly,Free,Adult watercolor painting workshop,https://fallriverlibrary.org/events
Event,Library,Gaming with BEAM!,2026-03-19,4:00 PM,"Fall River Public Library, 104 North Main St",Monthly,Free,Gaming program for teens,https://fallriverlibrary.org/events
Event,Library,Fantasy & Sci-Fi Book Club,2026-03-19,6:00 PM,"Fall River Public Library, 104 North Main St",Monthly,Free,Book club for fantasy and science fiction fans,https://fallriverlibrary.org/events
Event,Library,Trustees Mobile Adventures: Signs of Spring,2026-03-21,1:30 PM,"Fall River Public Library, 104 North Main St",Monthly,Free,Outdoor nature exploration program,https://fallriverlibrary.org/events
Event,Library,Read Across America Night,2026-03-24,6:00 PM,"Fall River Public Library, 104 North Main St",Annual,Free,Celebration of reading and literacy,https://fallriverlibrary.org/events
Event,Library,Voices Unheard Concert,2026-03-26,8:00 PM,"Fall River Public Library, 104 North Main St",One-time,Free,Concert featuring underrepresented voices,https://fallriverlibrary.org/events
Event,Library,Photography Group,2026-03-25,6:00 PM,"Fall River Public Library, 104 North Main St",Monthly (Last Wednesday),Free,Photography enthusiasts group meeting,https://fallriverlibrary.org/events
Event,Library,Happy Birthday Dr. Seuss with Mr. Mello,2026-03-03,11:00 AM,"Fall River Public Library, 104 North Main St",Annual,Free,Dr. Seuss birthday celebration for children,https://fallriverlibrary.org/events
Event,Library,Preschool Storytime,2026-04-07,11:00 AM,"Fall River Public Library, 104 North Main St",Weekly (Tuesdays),Free,"Stories, literacy movie, craft for ages 3-5",https://fallriverlibrary.org/events
Event,Library,English Conversation Group,2026-04-01,6:00 PM,"Fall River Public Library, 104 North Main St",Weekly (Wednesdays),Free,Practice English speaking and listening skills,https://fallriverlibrary.org/events
Event,Library,Teen Game Night,2026-04-02,5:30 PM,"Fall River Public Library, 104 North Main St",Monthly (1st Thursday),Free,Multiplayer video games for teens ages 13-18,https://fallriverlibrary.org/events
Event,Library,Knitting Club,2026-04-02,1:00 PM,"Fall River Public Library, 104 North Main St",Weekly (Thursdays),Free,Knitting and crochet group,https://fallriverlibrary.org/events
Event,Library,Chess Club,2026-04-04,12:30 PM,"Fall River Public Library, 104 North Main St",Weekly (Saturdays),Free,Chess for all skill levels,https://fallriverlibrary.org/events
Event,Library,Writing Group,2026-04-08,6:00 PM,"Fall River Public Library, 104 North Main St",Monthly (2nd Wednesday),Free,Creative writing community,https://fallriverlibrary.org/events
Event,Library,YA Comics Club,2026-04-09,6:00 PM,"Fall River Public Library, 104 North Main St",Monthly (2nd Thursday),Free,Comics and graphic novels for teens 13-18,https://fallriverlibrary.org/events
Event,Library,Books & Tea Club,2026-04-15,2:00 PM,"Fall River Public Library, 104 North Main St",Monthly,Free,Adult book club with tea,https://fallriverlibrary.org/events
Event,Library,Watercolor Workshop,2026-04-15,6:00 PM,"Fall River Public Library, 104 North Main St",Monthly,Free,Adult watercolor painting workshop,https://fallriverlibrary.org/events
Event,Library,Fantasy & Sci-Fi Book Club,2026-04-16,6:00 PM,"Fall River Public Library, 104 North Main St",Monthly,Free,Book club for fantasy and science fiction fans,https://fallriverlibrary.org/events
Event,Library,Photography Group,2026-04-29,6:00 PM,"Fall River Public Library, 104 North Main St",Monthly (Last Wednesday),Free,Photography enthusiasts group meeting,https://fallriverlibrary.org/events
Event,Library,Teen Game Night,2026-05-07,5:30 PM,"Fall River Public Library, 104 North Main St",Monthly (1st Thursday),Free,Multiplayer video games for teens ages 13-18,https://fallriverlibrary.org/events
Event,Library,Writing Group,2026-05-13,6:00 PM,"Fall River Public Library, 104 North Main St",Monthly (2nd Wednesday),Free,Creative writing community,https://fallriverlibrary.org/events
Event,Library,YA Comics Club,2026-05-14,6:00 PM,"Fall River Public Library, 104 North Main St",Monthly (2nd Thursday),Free,Comics and graphic novels for teens 13-18,https://fallriverlibrary.org/events
Event,Library,Books & Tea Club,2026-05-20,2:00 PM,"Fall River Public Library, 104 North Main St",Monthly,Free,Adult book club with tea,https://fallriverlibrary.org/events
Event,Library,Photography Group,2026-05-27,6:00 PM,"Fall River Public Library, 104 North Main St",Monthly (Last Wednesday),Free,Photography enthusiasts group meeting,https://fallriverlibrary.org/events
Event,Library,Summer Reading Program Kickoff,2026-06-15,10:00 AM,"Fall River Public Library, 104 North Main St",Annual,Free,Annual summer reading program for all ages,https://fallriverlibrary.org/events
Event,Library,Teen Game Night,2026-06-04,5:30 PM,"Fall River Public Library, 104 North Main St",Monthly (1st Thursday),Free,Multiplayer video games for teens ages 13-18,https://fallriverlibrary.org/events
Event,Library,Writing Group,2026-06-10,6:00 PM,"Fall River Public Library, 104 North Main St",Monthly (2nd Wednesday),Free,Creative writing community,https://fallriverlibrary.org/events
Event,Library,Teen Game Night,2026-07-02,5:30 PM,"Fall River Public Library, 104 North Main St",Monthly (1st Thursday),Free,Multiplayer video games for teens ages 13-18,https://fallriverlibrary.org/events
Event,Library,Writing Group,2026-07-08,6:00 PM,"Fall River Public Library, 104 North Main St",Monthly (2nd Wednesday),Free,Creative writing community,https://fallriverlibrary.org/events
Event,Library,Teen Game Night,2026-08-06,5:30 PM,"Fall River Public Library, 104 North Main St",Monthly (1st Thursday),Free,Multiplayer video games for teens ages 13-18,https://fallriverlibrary.org/events
Event,Library,Writing Group,2026-08-12,6:00 PM,"Fall River Public Library, 104 North Main St",Monthly (2nd Wednesday),Free,Creative writing community,https://fallriverlibrary.org/events
Event,Library,Teen Game Night,2026-09-03,5:30 PM,"Fall River Public Library, 104 North Main St",Monthly (1st Thursday),Free,Multiplayer video games for teens ages 13-18,https://fallriverlibrary.org/events
Event,Library,Writing Group,2026-09-09,6:00 PM,"Fall River Public Library, 104 North Main St",Monthly (2nd Wednesday),Free,Creative writing community,https://fallriverlibrary.org/events
Event,Library,Teen Game Night,2026-10-01,5:30 PM,"Fall River Public Library, 104 North Main St",Monthly (1st Thursday),Free,Multiplayer video games for teens ages 13-18,https://fallriverlibrary.org/events
Event,Library,Writing Group,2026-10-14,6:00 PM,"Fall River Public Library, 104 North Main St",Monthly (2nd Wednesday),Free,Creative writing community,https://fallriverlibrary.org/events
Event,Library,Teen Game Night,2026-11-05,5:30 PM,"Fall River Public Library, 104 North Main St",Monthly (1st Thursday),Free,Multiplayer video games for teens ages 13-18,https://fallriverlibrary.org/events
Event,Library,Writing Group,2026-11-11,6:00 PM,"Fall River Public Library, 104 North Main St",Monthly (2nd Wednesday),Free,Creative writing community,https://fallriverlibrary.org/events
Event,Library,Teen Game Night,2026-12-03,5:30 PM,"Fall River Public Library, 104 North Main St",Monthly (1st Thursday),Free,Multiplayer video games for teens ages 13-18,https://fallriverlibrary.org/events
Event,Library,Writing Group,2026-12-09,6:00 PM,"Fall River Public Library, 104 North Main St",Monthly (2nd Wednesday),Free,Creative writing community,https://fallriverlibrary.org/events
Event,Library,Banned Book Club,2026-12-24,6:00 PM,"Fall River Public Library, 104 North Main St",Monthly,Free,Book club focused on banned and challenged books,https://fallriverlibrary.org/events
Event,Museum/Attraction,Cadette Comic Artist & Finding Common Ground,2026-03-08,1:30 PM,"Battleship Cove, 5 Water St, Fall River",One-time,Paid (with admission),Girl Scout merit badge workshop,https://www.battleshipcove.org/events
Event,Museum/Attraction,Safety Workshop - Scout Merit Badge,2026-03-15,1:00 PM,"Battleship Cove, 5 Water St, Fall River",One-time,Paid (with admission),Spring 2026 Scouting Merit Badge Workshop,https://www.battleshipcove.org/events
Event,Museum/Attraction,Homeschool Day,2026-03-20,9:00 AM,"Battleship Cove, 5 Water St, Fall River",Monthly,Paid ($10-$15),Special homeschool day with workshops,https://www.battleshipcove.org/events
Event,Museum/Attraction,Daisy Craft & Tinker / Mechanical Engineering Model Car,2026-03-22,10:00 AM,"Battleship Cove, 5 Water St, Fall River",One-time,Paid (with admission),Girl Scout workshop - SOLD OUT,https://www.battleshipcove.org/events
Event,Museum/Attraction,Citizenship in the Nation - Scout Workshop,2026-03-29,1:00 PM,"Battleship Cove, 5 Water St, Fall River",One-time,Paid (with admission),Spring 2026 Scouting Merit Badge Workshop - SOLD OUT,https://www.battleshipcove.org/events
Event,Museum/Attraction,Easter Scavenger Hunt,2026-04-04,9:00 AM,"Battleship Cove, 5 Water St, Fall River",Annual,Paid (with admission),Find 12 Easter eggs throughout the ships to win a prize,https://www.battleshipcove.org/events
Event,Museum/Attraction,Breakfast with the Easter Bunny,2026-04-04,9:00 AM,"Battleship Cove, 5 Water St, Fall River",Annual,Paid,Easter breakfast event with the Easter Bunny,https://www.battleshipcove.org/events
Event,Museum/Attraction,Brownie Making Games and Create & Innovate,2026-04-12,10:00 AM,"Battleship Cove, 5 Water St, Fall River",One-time,Paid (with admission),Girl Scout workshop,https://www.battleshipcove.org/events
Event,Museum/Attraction,Homeschool Day,2026-04-17,9:00 AM,"Battleship Cove, 5 Water St, Fall River",Monthly,Paid ($10-$15),Special homeschool day with workshops,https://www.battleshipcove.org/events
Event,Museum/Attraction,"Signs, Signals, and Codes - Scout Workshop",2026-04-19,1:00 PM,"Battleship Cove, 5 Water St, Fall River",One-time,Paid (with admission),Spring 2026 Scouting Merit Badge Workshop,https://www.battleshipcove.org/events
Event,Museum/Attraction,Citizenship in the World - Scout Workshop,2026-04-26,1:00 PM,"Battleship Cove, 5 Water St, Fall River",One-time,Paid (with admission),Spring 2026 Scouting Merit Badge Workshop - SOLD OUT,https://www.battleshipcove.org/events
Event,Museum/Attraction,Junior Detective and Playing the Past,2026-04-26,1:00 PM,"Battleship Cove, 5 Water St, Fall River",One-time,Paid (with admission),Girl Scout workshop - SOLD OUT,https://www.battleshipcove.org/events
Event,Museum/Attraction,Cadette Special Agent Workshop,2026-05-03,1:00 PM,"Battleship Cove, 5 Water St, Fall River",One-time,Paid (with admission),Girl Scout workshop,https://www.battleshipcove.org/events
Event,Museum/Attraction,Mother's Day at Battleship Cove,2026-05-10,9:00 AM,"Battleship Cove, 5 Water St, Fall River",Annual,Paid (with admission),Special Mother's Day celebration,https://www.battleshipcove.org/events
Event,Museum/Attraction,Homeschool Day,2026-05-15,9:00 AM,"Battleship Cove, 5 Water St, Fall River",Monthly,Paid ($10-$15),Special homeschool day with workshops,https://www.battleshipcove.org/events
Event,Museum/Attraction,Citizenship in the Community - Scout Workshop,2026-05-17,1:00 PM,"Battleship Cove, 5 Water St, Fall River",One-time,Paid (with admission),Spring 2026 Scouting Merit Badge Workshop - SOLD OUT,https://www.battleshipcove.org/events
Event,Museum/Attraction,Junior Create & Innovate and Paddle Boats,2026-05-17,1:00 PM,"Battleship Cove, 5 Water St, Fall River",One-time,Paid (with admission),Girl Scout workshop,https://www.battleshipcove.org/events
Event,Museum/Attraction,Memorial Day at Battleship Cove,2026-05-25,9:00 AM,"Battleship Cove, 5 Water St, Fall River",Annual,Paid (with admission),Memorial Day ceremony and open museum,https://www.battleshipcove.org/events
Event,Museum/Attraction,August Adventures at Battleship Cove,2026-08-05,9:00 AM,"Battleship Cove, 5 Water St, Fall River",Annual,Free admission,Free admission during August Adventures,https://www.battleshipcove.org/events
Event,Park/Nature,Heritage State Park Daily Visitor Center Tours,2026-03-01,10:00 AM,"Fall River Heritage State Park, 100 Davol St",Daily,Free,Self-guided and guided tours of the visitor center,https://www.mass.gov/locations/fall-river-heritage-state-park
Event,Park/Nature,Heritage State Park Spring Programs,2026-03-15,10:00 AM,"Fall River Heritage State Park, 100 Davol St",Monthly,Free,"Spring nature and history programs, free parking at 1 Central St",https://www.mass.gov/locations/fall-river-heritage-state-park
Event,Park/Nature,Heritage State Park Summer Programs,2026-06-15,10:00 AM,"Fall River Heritage State Park, 100 Davol St",Monthly,Free,Summer outdoor and history programs,https://www.mass.gov/locations/fall-river-heritage-state-park
Event,Park/Nature,Heritage State Park Fall Programs,2026-09-15,10:00 AM,"Fall River Heritage State Park, 100 Davol St",Monthly,Free,Fall nature and history programs,https://www.mass.gov/locations/fall-river-heritage-state-park
Event,Community,Drawing the Figure (SoCo Art Labs),2026-03-01,1:00 PM,"SoCo Art Labs, 418 Quequechan St, 2nd Floor",Bi-weekly Sundays,Free (grant-funded),"Figure drawing with live model, 20-min gestures, adults only",https://www.vivafallriver.com/events
Event,Community,Spilling the Tea: A Victorian Tea Party (Lizzie Borden),2026-03-01,2:00 PM,"Lizzie Borden House, Fall River",Monthly,Paid (tickets required),Victorian tea party with true crime history at Lizzie Borden House,https://www.vivafallriver.com/events
Event,Community,Voices Unheard Concert,2026-03-26,8:00 PM,"Fall River Public Library, 104 North Main St",One-time,Free,Community concert featuring underrepresented voices,https://www.vivafallriver.com/events
Event,Community,Author Talk: The Women of Arlington Hall,2026-03-01,2:00 PM,"Fall River Public Library, 104 North Main St",One-time,Free,Author talk about WWII code-breaking women,https://www.vivafallriver.com/events
Event,Community,Native American Storytelling & Crafts (Pocasset Wampanoag),2026-02-19,2:00 PM,"Fall River Public Library, 104 North Main St",One-time,Free,Native American storytelling and crafts with the Pocasset Wampanoag Tribe,https://www.vivafallriver.com/events
Event,Community,Free Yoga Classes,2026-03-02,9:00 AM,"Various locations, Fall River",Weekly,Free,Beginner-friendly yoga focusing on alignment and breath work,https://www.vivafallriver.com/events
Event,Community,Story Time with Christine Devane,2026-03-01,10:00 AM,"Various, Fall River",Weekly,Free,Children's story time,https://www.vivafallriver.com/events
Event,Community,AARP Free Tax Preparation Service,2026-02-02,9:00 AM,"Fall River Public Library, 104 North Main St",Daily (Feb 2 - Apr 15),Free,"Free in-person tax preparation by AARP volunteers, 9am-12noon",https://fallriverma.gov/Calendar.php
Event,Community,Muckraker-palooza 2026,2026-04-19,3:00 PM,"Woodlawn, Fall River",Annual,Paid,Annual community festival and music event,https://www.eventbrite.com/d/ma--fall-river/events/
Event,Community,"Spring Craft, Vendor Fair & Food Trucks at Liberal Club",2026-05-01,10:00 AM,"Liberal Club, Fall River",Annual (May),Free to attend,Spring craft fair with vendors and food trucks,https://festivalnet.com/fairs-festivals/Massachusetts/Fall-River-MA
Event,Community,Parish of the Good Shepherd Feast,2026-08-01,12:00 PM,"Parish of the Good Shepherd, Fall River",Annual (August),Free to attend,Annual parish feast celebration,https://festivalnet.com/fairs-festivals/Massachusetts/Fall-River-MA
Event,Community,Oktoberfest at Holy Name School,2026-10-01,12:00 PM,"Holy Name School, Fall River",Annual (October),Free to attend,Annual Oktoberfest celebration,https://festivalnet.com/fairs-festivals/Massachusetts/Fall-River-MA
Event,Community,Diman PTO Craft Fair,2026-11-01,10:00 AM,"Diman RVT High School, Fall River",Annual (November),Free to attend,Annual craft fair at Diman Vocational Technical High School,https://festivalnet.com/fairs-festivals/Massachusetts/Fall-River-MA
Event,Community,The Liberal Club Autumn Craft Fair,2026-11-15,10:00 AM,"The Liberal Club, Fall River",Annual (November),Free to attend,Autumn craft fair at the Liberal Club,https://festivalnet.com/fairs-festivals/Massachusetts/Fall-River-MA
Event,Community,Fall River Christmas Arts and Crafts Fair,2026-12-01,10:00 AM,"Durfee High School, Fall River",Annual (December),Free to attend,Annual Christmas arts and crafts fair,https://festivalnet.com/fairs-festivals/Massachusetts/Fall-River-MA
Event,Community,Take Me to the River Music Festival,2026-08-22,4:00 PM,"Fall River City Pier, Fall River Waterfront",Annual (August),Paid,Waterfront music festival with food trucks and live music,https://www.heraldnews.com
Event,Community,Fall River Farmers and Artisans Market,2026-06-06,10:00 AM,"Cardinal Medeiros Towers, Fall River","Weekly (Saturdays, June-Oct)",Free to attend,Local farmers and artisans market,https://www.vivafallriver.com
Event,Community,Thanksmas Holiday Market,2026-11-14,4:00 PM,"Purchase Street, Fall River",Annual (November),Free to attend,5th Annual Thanksmas Holiday Market,https://www.facebook.com/FallRiverFAM/
Event,Community,City Council Public Meeting,2026-03-28,5:55 PM,"Fall River City Hall, One Government Center",Monthly,Free (public),City Council public hearing on Capital Improvement Plan,https://fallriverma.gov/Calendar.php
Event,Community,Conservation Commission Meeting,2026-03-03,5:30 PM,"Fall River City Hall, One Government Center",Monthly,Free (public),Monthly Conservation Commission meeting,https://fallriverma.gov/Calendar.php
Event,Community,Zoning Board of Appeals Meeting,2026-03-19,5:30 PM,"Fall River City Hall, One Government Center",Monthly,Free (public),Monthly Zoning Board of Appeals meeting,https://fallriverma.gov/Calendar.php
Event,Community,Battle of Fall River Reenactment Weekend,2026-05-30,10:00 AM,"Fall River Heritage State Park, 100 Davol St",Annual (May/June),Free to attend,"Historical reenactment of the Battle of Fall River, May 31-June 1",https://massachusetts250.org/event/battle-of-fall-river-reenactment-weekend/
Event,Arts & Culture,SketchyGOichie DRAW! Winter 2026,2026-02-28,12:00 PM,"Various, Fall River",Seasonal,Paid,Drawing workshop/event,https://www.vivafallriver.com
Event,Arts & Culture,Kid's Art Workshop with Susan Drayton,2026-02-28,12:00 PM,"Various, Fall River",Monthly,Paid,Children's art workshop with local artist,https://www.vivafallriver.com
Event,Arts & Culture,Creative Arts Network Events (CAN Fall River),2026-03-15,6:00 PM,Fall River Waterfront Cultural District,Monthly,Varies,Arts events in the Fall River Waterfront Cultural District,https://www.creativeartsnetworks.org/events
Event,Arts & Culture,Little Theatre of Fall River - Spring Production,2026-04-25,7:30 PM,"Narrows Center, Fall River",Seasonal,Paid,Live theater production by Little Theatre of Fall River,https://newbedfordlight.org
Event,Arts & Culture,Watercolor Workshop (Monthly),2026-04-15,6:00 PM,"Fall River Public Library, 104 North Main St",Monthly,Free,Monthly adult watercolor workshop at the library,https://fallriverlibrary.org/events
Restaurant,Portuguese,Sagres Restaurant,,Lunch & Dinner,"Fall River, MA","Dine-in, Takeout",$$$,"Authentic Portuguese cuisine, reservations recommended",https://sagresfr.com/
Restaurant,Portuguese,Caldeiras Restaurant,,Lunch & Dinner,"Fall River, MA","Dine-in, Takeout",$$$,"Traditional Portuguese restaurant, spacious dining",https://www.caldeirasrestaurant.com/
Restaurant,Portuguese,Caravela Family Restaurant,,Lunch & Dinner,"637 S. Main St, Fall River","Dine-in, Takeout",$$,"Family-style Portuguese dining, casual atmosphere",https://www.caravelafallriver.com/
Restaurant,Portuguese,Douro Steakhouse (Towne House),,Dinner (Wed-Sat),"37 Purchase St, Fall River","Dine-in, Reservations",$$$$,"Modern Portuguese steakhouse, premium cuts, craft cocktails",https://www.townehousefr.com/
Restaurant,Portuguese,Barca Restaurant,,Lunch & Dinner,"85 Columbia St, Fall River","Dine-in, Takeout",$$$,"Authentic Portuguese cuisine, fresh seafood",https://www.facebook.com/BarCaRestaurantes/
Restaurant,Portuguese,Marisqueira Azores Restaurant,,Lunch & Dinner,"1445 South Main St, Fall River","Dine-in, Takeout",$$$,"Seafood-focused Portuguese restaurant, reopened after fire",https://www.facebook.com/p/Marisqueira-Azores-Restaurant-100057233029081/
Restaurant,Portuguese,Estoril Restaurant,,Dinner (Wed-Sat),"1577 Pleasant St, Fall River","Dine-in, Takeout",$$,"Portuguese cuisine, casual dining",http://www.estorilrestaurant.com/
Restaurant,Italian,Primo on Water Street,,Lunch & Dinner,"36 Water St, Fall River","Dine-in, Takeout",$$$,"Italian-American comfort food, 8,500 sq ft space, locally sourced",https://www.primoonwaterstreet.com/
Restaurant,Italian,Patti's Pierogis,,Lunch & Dinner,"1019 S. Main St, Fall River","Takeout, Dine-in",$$,"Polish-Italian pierogis, golabkis, kielbasa, family recipes",http://www.pattispierogis.com/
Restaurant,Italian,Marzilli's Bakery,,Breakfast & Lunch,"Fall River, MA","Dine-in, Takeout",$$,"Italian bakery with fresh bread, grinders, soups, salads",https://marzillisbakery.com/
Restaurant,Italian,Candela Cucina,,Dinner,"Fall River, MA","Dine-in, Reservations",$$$$,"Upscale Italian, Chef Josh Riazi, covered patio bar",https://www.candelacucina.com/
Restaurant,Italian,Fiorentina Italian Kitchen,,Lunch & Dinner,"1833 North Main St, Fall River","Dine-in, Takeout, Delivery",$$$,"Italian fare, pizza, pasta (Closing Feb 2026)",https://www.myfiorentinaitaliankitchen.com/
Restaurant,Seafood,The Cove Restaurant & Marina,,Lunch & Dinner,"392 Davol St, Fall River","Dine-in, Outdoor seating",$$$,"Raw bar, salmon, tuna, lobster, oysters, scallops, steaks, boat access",https://cove392.com/
Restaurant,Seafood,The Liberal Club Restaurant,,Lunch & Dinner,"202 Pleasant St, Fall River","Dine-in, Takeout",$$,"Classic seafood, fried clams, grapenut pudding, casual",https://www.liberalclub1915.com/
Restaurant,Seafood,Macray's Seafood,,Lunch & Dinner,"Tiverton, RI (near Fall River)","Dine-in, Takeout",$$,Voted #1 for fried clams and clam cakes on South Coast,https://www.macraysseafood.com/
Restaurant,Asian,Happy Garden,,Lunch & Dinner,"960 Pleasant St, Fall River","Dine-in, Takeout, Delivery",$$,"Authentic Chinese cuisine, crab rangoon, lemon chicken, chow mein",https://www.yelp.com/biz/happy-garden-fall-river
Restaurant,Casual Dining,Scottie's Pub,,Lunch & Dinner,"202 Pleasant St, Fall River","Dine-in, Takeout, Delivery",$$,"Sports bar, lobster rolls, seafood pasta, baked stuffed favorites, karaoke",https://www.scottiespubfr.com/
Restaurant,Casual Dining,The Tipsy Toboggan,,Lunch & Dinner,"75 Ferry St, Fall River","Dine-in, Takeout",$$,"Casual dining, burgers, sandwiches, local following",https://www.yelp.com/biz/the-tipsy-toboggan-fall-river
Restaurant,Specialty,Bun Buds,,Lunch & Dinner,"10 Purchase St, Fall River","Takeout, Dine-in",$$,"Elevated dumplings, hot dogs, bao, Asian fusion, opened 2024",https://bunbuds.com/
Restaurant,Specialty,Grahams Hot Dogs,,Lunch,"931 Bedford St, Fall River","Takeout, Dine-in",$,"Coney Island hot dogs, local institution (currently closed, reopening pending)",https://www.facebook.com/p/Grahams-Hot-Dogs-100063772521991/
Restaurant,Specialty,Atlas Pizza,,Lunch & Dinner,"761 Eastern Ave, Fall River","Takeout, Dine-in",$$,"Family-owned pizza since 1975, local favorite",https://atlaspizza.net/store/fall-river/
Restaurant,Bakery/Coffee,Barcelos Bakery,,Breakfast & Lunch,"Bedford St, Fall River","Takeout, Dine-in",$$,"Portuguese bakery, fresh bread, pastries, espresso, lattes",https://barcelosbakeryma.com/
Restaurant,Bakery/Coffee,Leddy's Bakery & Coffee Shop,,Breakfast & Lunch,"Fall River, MA","Takeout, Dine-in",$$,"Donuts, pastries, meat pies, chicken pies, coffee",https://www.leddysbakery.com/
Restaurant,Bakery/Coffee,Sam's Bakery,,Breakfast & Lunch,"256 Flint St, Fall River","Takeout, Dine-in",$$,"Local bakery, high ratings, variety of baked goods",https://www.yelp.com/biz/sams-bakery-fall-river
Restaurant,Bakery/Coffee,New Boston Bakery,,Breakfast & Lunch,"Fall River, MA","Takeout, Dine-in",$$,"Traditional bakery, pastries, breads, coffee",https://www.newbostonbakery.com/
Restaurant,Bakery/Coffee,Miss Lizzie's Coffee,,Breakfast & Lunch,"242 Second St, Fall River","Takeout, Dine-in",$$,"Specialty coffee, tea, sandwiches, pastries, near Lizzie Borden House",https://misslizziescoffee.com/
Restaurant,Bakery/Coffee,Mission Cold Brew,,Breakfast & Lunch,"657 Quarry St, Fall River",Takeout,$,"Cold brew coffee, specialty drinks",https://www.missioncoldbrew.com/
Restaurant,Market/Specialty,Portugalia Marketplace,,Shopping,"Fall River, MA","Retail, Cafe",$$,"Portuguese specialty food market, wines, pastries, groceries, cafe",https://portugaliamarketplace.com/
Bus Route,SRTA,Route 101 - South Main,Weekday Outbound,6:10 AM,SRTA Terminal → Shove St & Broad St (South Main),30 min frequency,$1.50 cash / $1.25 CharlieCard,Outbound: SRTA Terminal to South Main St area,https://www.srtabus.com/fall-river/
